pair,final_capital_no_model,avg_return_no_model,final_capital_with_model,avg_return_with_model
BTC-LINK,9316.21924876949,-0.924028042203397,10031.013979951282,10.33799331709404
ETH-DOGE,8284.860781903702,-2.320892040725697,10000.0,0.0
BNB-DOGE,9048.044786605114,-1.2795096954232024,9743.176162581662,-19.755679801410512
XRP-DOGE,7899.308070980936,-6.08896211309873,9040.425527436068,-19.191489451278624
DOGE-XLM,13374.558874271484,4.304284278407536,12617.176883334017,13.921153634755415
DOGE-HBAR,9033.343085962613,-2.662966705337152,9367.201886325885,-13.463789652640743
ADA-SHIB,8160.374482421457,-2.4110426180583797,10000.0,0.0
SHIB-BCH,11702.705324186012,2.005542195743255,24232.296127734007,29.774678091493758
SHIB-LTC,12013.563571633134,2.6494257521488804,12523.489225224652,6.292990586595164
SHIB-ETC,7051.2393132158595,-3.5916695332328055,18786.860270200348,21.379222068613984
SHIB-XLM,9663.648608977695,-0.4167923060995029,13909.504800669965,9.558691444180816
SHIB-AAVE,10221.623971029034,0.2742870928577289,17547.412635682325,17.675439427827428
SHIB-FIL,10218.877851802732,0.26025903900442926,28310.683156866235,41.42688497028551
SHIB-ATOM,15710.013745711338,7.283180798101208,16599.6446689449,15.902758238421464
LINK-XLM,11905.326887551577,2.3493549784852865,6527.321170238339,-8.347785648465527
DOT-ETC,5629.689315405846,-5.069965991408525,11732.351722467818,8.838529196264417
DOT-IMX,7007.949980985817,-4.08192362757735,10256.889790567131,1.3173835413698944
LTC-APT,4265.041428897342,-10.779997314102749,6073.347642679111,-12.585424222182368
LTC-HBAR,6359.176502630376,-9.58111446676215,8413.46654384349,-14.165477287111683
LTC-ATOM,8281.362562704182,-2.2465848853540105,9964.428689737448,-0.13525213027587216
NEAR-ETC,5958.489133404327,-4.892870298541992,11400.88988478381,9.037999256669709
NEAR-IMX,7447.035455455493,-3.4781533304421495,9266.585439701712,-6.163147565531848
APT-ETC,15708.820303372431,10.050739970726104,27495.51231110034,65.28176235485199
APT-FIL,12968.415167928852,5.28187752300507,6637.372586607854,-33.29334072665489
UNI-ETC,8020.6952161937415,-2.339603763364362,16955.42183736268,28.74141255108539
FET-RENDER,10083.020500042512,1.3836750007085394,9959.258203300466,-20.37089834976748
ETC-XLM,15696.174848572571,6.677813421538764,5050.810414556649,-11.897090349623452
ETC-FTM,13004.886896086695,3.65113839135685,4991.170808269756,-11.409633694146288
ETC-ATOM,15473.354014912924,6.53925210861758,11631.762673615973,18.755892800183524
ETC-GRT,5548.247481037244,-5.350664085291774,2365.16035215759,-16.706432489808336
XLM-HBAR,7215.9134567525625,-7.288184668187015,8911.02610130427,-29.431726991776426
FIL-OP,7818.598022847819,-3.2413105158279065,7440.390613076687,-16.951055542538477
FIL-ATOM,11944.731091091619,2.380331812841651,16721.50203096994,23.257792494705637
